coverage_gap_mean,coverage_gap_min,num_cases,scene,student_coverage_mean,teacher_coverage_mean
-0.11042724999999998,-0.20011999999999996,12,game2_mid_left,0.7191326666666668,0.8295599166666667
-0.08475949999999999,-0.13155700000000004,12,game3_left,0.7686717500000001,0.85343125
-0.07987874999999998,-0.11311899999999997,12,game2_right,0.7537835833333334,0.8336623333333333
-0.06905291666666667,-0.08443899999999993,12,game2_center,0.7657538333333332,0.8348067499999999
-0.06527024999999999,-0.08886700000000003,12,game3_center,0.7675283333333334,0.8327985833333332
-0.048223833333333355,-0.08294699999999999,12,game3_mid_left,0.7880509166666667,0.83627475
-0.04001316666666668,-0.09073200000000003,12,game2_left,0.7158519166666667,0.7558650833333332
-0.03885708333333335,-0.07622600000000002,12,game2_mid_right,0.7794129166666667,0.81827
-0.03059200000000002,-0.10599700000000001,12,game3_mid_right,0.8229625833333333,0.8535545833333332
-0.009457999999999994,-0.02486199999999994,12,game3_right,0.8468906666666666,0.8563486666666668
